acpi 1.7-2
acpid 2.0.28-1
adapta-kde-git r127.2e0c1bc-1
alsa-firmware 1.0.29-1
alsa-utils 1.1.5-2
android-tools 8.1.0_r7-1
android-udev 20180112-1
ark 17.12.3-1
aspell-en 2017.08.24-1
aspell-es 1.11-6
atom 1.25.0-1
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7-4
awesome-terminal-fonts 1.1.0-1
b43-fwcutter 019-1
bash 4.4.019-1
bdf-unifont 10.0.07-1
bdf2psf 1.178-1
biber 2.11-1
binutils 2.29.1-3
bison 3.0.4-3
bluedevil 1:5.12.3-1
boostnote 0.10.0-1
breeze 5.12.3-1
breeze-dark-flat 1.1-1
breeze-gtk 5.12.3-1
breeze-kde4 5.12.3-1
breeze-light-flat 1.1-1
btrfs-progs 4.15.1-1
bumblebee 3.2.1-18
bzip2 1.0.6-7
cantata 2.2.0-3
cmst 20170318-3
cmus 2.7.1-9
compton 0.1_beta2.5-10
connman 1.35-3
coreutils 8.29-1
cpupower 4.15-1
crda 3.18-1
cronie 1.5.1-1
cryptsetup 2.0.2-1
cups 2.2.6-4
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-1
device-mapper 2.02.177-5
dhclient 4.4.1-4
dhcpcd 7.0.1-1
dialog 1:1.3_20171209-1
diffutils 3.6-1
dmenu 4.8-1
dmidecode 3.1-2
dmraid 1.0.0.rc16.3-10
dnsmasq 2.79-1
dolphin 17.12.3-1
dolphin-plugins 17.12.3-1
dosbox 0.74-7
dosfstools 4.1-1
dvdauthor 0.7.2-4
e2fsprogs 1.44.0-1
ecryptfs-utils 111-2
efibootmgr 15-1
exfat-utils 1.2.8-1
f2fs-tools 1.10.0-1
fakeroot 1.22-1
feh 2.25.1-1
ffmpeg 1:3.4.2-2
ffmpegthumbs 17.12.3-1
file 5.32-1
filelight 17.12.3-1
filesystem 2017.06-4.5
findutils 4.6.0-2
firefox 59.0.1-1
firefox-i18n-en-us 59.0.1-1
firefox-i18n-es-mx 59.0.1-1
flashplugin 29.0.0.113-1
flatpak 0.11.3+4+g633a9cbf-1
flex 2.6.4-1
fortune-mod 1.99.5-1
frei0r-plugins 1.6.1-5
gawk 4.2.1-1
gcc 7.3.1+20180312-1
gcc-fortran 7.3.1+20180312-1
gcc-libs 7.3.1+20180312-1
gettext 0.19.8.1-2
ghostscript 9.22-7
git 2.16.2-2
glibc 2.26-11
gnome-icon-theme 3.12.0-4
gnome-keyring 1:3.27.4+8+gff229abc-1
gnome-themes-standard 3.22.3+16+gc092fc89-1
grep 3.1-1
grub 2.03.0-4
gsfonts 20170829-1
gst-libav 1.12.4-1
gst-plugins-bad 1.12.4-5
gst-plugins-base 1.12.4-1
gst-plugins-good 1.12.4-2
gst-plugins-ugly 1.12.4-3
gtk-theme-breath 5.9.0-1
gtk3 3.22.28-1
gucharmap 10.0.3-1
gvfs 1.34.2.1-1
